School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
GREENE HS,Public School,Chenango,GREENE CENTRAL SCHOOL DISTRICT,GREENE,13778,S CANAL ST,70,0,No,Yes,42.481798, -75.570013,51282,50477,48265,323,200,929
SCHOOL  3,Public School,Chautauqua,DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK,14048,742 LAMPHERE ST,37,3,No,Yes,42.246904, -79.315313,40121,134905,120463,2763,676,8241
WATERVLIET ES,Public School,Albany,WATERVLIET CITY SCHOOL DISTRICT,WATERVLIET,12189,2557 10TH AVE,102,3,No,Yes,42.678066, -73.814233,45328,304204,231152,36396,14500,14917
CINCINNATUS JSHS,Public School,Cortland,CINCINNATUS CENTRAL SCHOOL DISTRICT,CINCINNATUS,13040,2809 CINCINNATUS RD,93,5,No,Yes,42.597101, -76.143291,45500,49336,46252,705,412,1094
CLOVERBANK ES,Public School,Erie,FRONTIER CENTRAL SCHOOL,HAMBURG,14075,CLOVERBANK RD,122,16,No,Yes,42.888143, -78.795544,63478,919040,714156,119916,23621,41731
RED HOOK SHS,Public School,Dutchess,RED HOOK CENTRAL SCHOOL,RED HOOK,12571,103 W MARKET ST,97,20,No,Yes,41.686216, -73.840468,67266,297488,221812,27395,10330,31267
K257,Public School,Kings,NYC DOE,Brooklyn,11206,60 COOK STREET,137,0,No,No,40.702759, -73.941345,28584,2504700,893306,799066,260129,496285
MIDLAKES H S,Public School,Ontario,PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL,CLIFTON SPRINGS,14432,1554 RT 488,222,55,No,Yes,42.894571, -77.252045,50503,107931,99119,2226,1111,3679
K751,Public School,Kings,NYC DOE,Brooklyn,11231,131 UNION STREET,11,0,No,No,40.68428, -74.002592,71999,2504700,893306,799066,260129,496285
FREDERICK CARDER ELEM SCHOOL,Public School,Steuben,CORNING PAINTED POST AREA SCHOOL DISTRICT,CORNING,14830,289 STATE ST,96,0,No,Yes,42.270053, -77.324618,50520,98990,93476,1487,1151,1371
WOODLAND SCHOOL,Public School,Nassau,HICKSVILLE UNION FREE SCHOOL,HICKSVILLE,11801,85 KETCHUM RD,38,0,No,Yes,40.715749, -73.601185,90604,1339532,877309,141305,101558,195355
SAYVILLE MIDDLE SCHOOL,Public School,Suffolk,SAYVILLE UNION FREE SCHOOL,SAYVILLE,11782,JOHNSON AVE,216,0,No,Yes,40.820237, -73.119032,103306,1493350,1068728,102117,50295,246239
K101,Public School,Kings,NYC DOE,Brooklyn,11214,2360 BENSON AVENUE,57,0,No,No,40.597379, -73.991962,41246,2504700,893306,799066,260129,496285
K515,Public School,Kings,NYC DOE,Brooklyn,11236,6565 FLATLANDS AVENUE,164,0,No,No,40.634451, -73.916927,60758,2504700,893306,799066,260129,496285
HIAWATHA SCHOOL,Public School,Suffolk,SACHEM CENT SCH AT HOLBROOK,LAKE RONKONKOMA,11779,97 PATCHOGUE RD,53,0,No,Yes,40.820237, -73.119032,84257,1493350,1068728,102117,50295,246239
X443,Public School,Bronx,NYC DOE,Bronx,10463,3605 SEDGWICK AVENUE,17,0,No,No,40.881542, -73.896483,53282,1385108,151209,416695,47335,741413
FABIUS JSHS,Public School,Onondaga,FABIUS-POMPEY CENTRAL SCHOOL,FABIUS,13063,MILL ST,73,0,No,Yes,43.065629, -76.168033,77054,467026,370040,48696,14370,18829
VALLEYVIEW ELEM SCHOOL,Public School,Otsego,ONEONTA CITY SCHOOLS,ONEONTA,13820,40 46 VALLEYVIEW ST,67,0,No,Yes,42.564852, -75.060334,40701,62259,57734,958,660,1921
CS SENIOR HIGH SCHOOL,Public School,Wayne,CLYDE-SAVANNAH CENTRAL SCHOOL,CLYDE,14433,215 GLASGOW ST,76,0,No,Yes,43.144336, -77.117995,49173,93772,85318,2743,465,3476
ALBANY AVENUE ELEM SCHOOL,Public School,Nassau,FARMINGDALE UNION FREE SCHOOL,MASSAPEQUA,11758,101 ALBANY AVE,63,4,No,Yes,40.715749, -73.601185,105349,1339532,877309,141305,101558,195355
RHAME AVENUE ELEM SCHOOL,Public School,Nassau,EAST ROCKAWAY U F S,EAST ROCKAWAY,11518,100 RHAME AVE,32,3,No,Yes,40.715749, -73.601185,95991,1339532,877309,141305,101558,195355
K041,Public School,Kings,NYC DOE,Brooklyn,11212,225 Newport Street,108,0,No,No,40.660455, -73.906925,27901,2504700,893306,799066,260129,496285
ICHABOD CRANE SHS,Public School,Columbia,KINDERHOOK/ICHABOD CENTRAL SCHOOL DISTRICT,VALATIE,12184,U S RT 9,26,0,No,Yes,42.276913, -73.682168,65691,63096,55672,2691,998,2454
K256,Public School,Kings,NYC DOE,Brooklyn,11216,114 KOSCIUSZKO STREET,140,0,No,No,40.690595, -73.94961,41688,2504700,893306,799066,260129,496285
SCHOOL 25 NATHANIEL HAWTHORNE,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14609,965 NO GOODMAN ST,22,6,No,Yes,43.161748, -77.620143,41260,744344,542034,107448,24023,54005
AFRICAN RD ES,Public School,Broome,VESTAL CENTRAL SCHOOL DISTRICT,VESTAL,13850,600 S BENITA BLVD,75,0,No,No,42.122015, -75.933191,62986,200600,173074,8850,7019,6778
NORTHWOOD ELEM SCHOOL,Public School,Monroe,HILTON CENTRAL SCHOOL,HILTON,14468,433 N GREECE RD,122,5,No,Yes,43.161748, -77.620143,64006,744344,542034,107448,24023,54005
LAWRENCE S H S,Public School,Nassau,LAWRENCE UNION FREE SCHOOL,CEDARHURST,11516,2 REILLY RD,36,0,No,Yes,40.715749, -73.601185,79800,1339532,877309,141305,101558,195355
X041,Public School,Bronx,NYC DOE,Bronx,10467,3352 OLINVILLE AVENUE,65,0,No,No,40.874754, -73.867834,35358,1385108,151209,416695,47335,741413
CHESTNUT HILL ELEM SCHOOL,Public School,Suffolk,HALF HOLLOW HILLS CENTRAL SCH,SUFFOLK,11747,600 S SERVICE RD,57,52,No,Yes,40.820237, -73.119032,107887,1493350,1068728,102117,50295,246239
WALDEN ELEM SCHOOL,Public School,Orange,VALLEY CENT SCH-MONTGOMERY,WALDEN,12586,75 ORCHARD ST,53,4,No,Yes,41.422459, -74.241929,68989,372813,254259,33895,8685,67185
JAMES S EVANS ES,Public School,Dutchess,WAPPINGERS CENTRAL SCHOOL,WAPPINGERS FALLS,12590,747 OLD ROUTE 9 NORTH,58,0,No,No,41.686216, -73.840468,77020,297488,221812,27395,10330,31267
MONROE 2 ORLEANS BOCES ADL HOUSE (LEAD ONLY),BOCES School,Monroe,BOCES No District Name,SPENCERPORT,14559,3595 BIG RIDGE ROAD,6,0,No,No,43.161748, -77.620143,70214,744344,542034,107448,24023,54005
ERIE 2 BOCES HEWES EDUCATION CENTER B BLDG (LEAD ONLY),BOCES School,Erie,BOCES No District Name,ASHVILLE,14710,2165 NORTH MAPLE STREET,9,2,No,Yes,42.888143, -78.795544,53563,919040,714156,119916,23621,41731
GENESEE VALLEY ELEMENTARY/MIDDLE/HIGH SCHOOL,Public School,Allegany,GENESEE VALLEY CENTRAL SCHOOL,BELMONT,14813,1 JAGUAR DR,148,5,No,Yes,42.226801, -78.020567,43488,48946,46701,494,451,670
JOHN QUINCY ADAMS ELEMENTARY SCHOOL,Public School,Suffolk,DEER PARK UNION FREE SCHOOL,DEER PARK,11729,172 OLD COUNTRY RD,7,0,No,Yes,40.820237, -73.119032,85118,1493350,1068728,102117,50295,246239
ORLEANS NIAGARA BOCES NIAGARA BUILDING 3,BOCES School,Orleans,BOCES No District Name,SANBORN,14132,4124 SAUNDERS ROAD,13,0,No,Yes,43.248394, -78.218438,58620,42883,37658,2368,173,1757
HEIM ES,Public School,Erie,WILLIAMSVILLE CENTRAL SCHOOL,WILLIAMSVILLE,14221,155 HEIM RD,114,13,No,Yes,42.888143, -78.795544,75702,919040,714156,119916,23621,41731
WILLIAM STREET SCHOOL,Public School,Erie,LANCASTER CENTRAL SCHOOL,LANCASTER,14086,5201 WILLIAM ST,205,1,No,Yes,42.888143, -78.795544,73024,919040,714156,119916,23621,41731
SIDWAY ES,Public School,Erie,GRAND ISLAND CENTRAL SCHOOL,GRAND ISLAND,14072,2451 BASELINE RD,1,0,No,Yes,42.888143, -78.795544,80180,919040,714156,119916,23621,41731
ALBION H S,Public School,Orleans,ALBION CENTRAL SCHOOL,ALBION,14411,302 EAST AVE,96,0,No,Yes,43.248394, -78.218438,48678,42883,37658,2368,173,1757
LYNBROOK HS,Public School,Nassau,LYNBROOK UNION FREE SCHOOL,LYNBROOK,11563,9 UNION AVE,144,0,No,Yes,40.715749, -73.601185,86804,1339532,877309,141305,101558,195355
X004,Public School,Bronx,NYC DOE,Bronx,10457,1701 FULTON AVENUE,141,0,No,No,40.841758, -73.897943,24445,1385108,151209,416695,47335,741413
ALEXANDRIA CENTRAL ES,Public School,Jefferson,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,ALEXANDRIA BAY,13607,34 BOLTON AVENUE,43,5,No,Yes,44.019295, -75.898971,37303,116229,99682,5475,1464,6143
KAPLAN CAREER ACADEMY,Public School,Westchester,GREENBURGH-NORTH CASTLE UFSD,DOBBS FERRY,10522,71 SOUTH BROADWAY,18,0,No,No,41.039278, -73.805386,106989,949113,544563,126585,51123,207032
PS 84 ERIE COUNTY HEALTH CARE CENTER FOR CHILDREN,Public School,Erie,BUFFALO CITY SCHOOLS,BUFFALO,14215,462 GRIDER ST,81,2,No,Yes,42.888143, -78.795544,30473,919040,714156,119916,23621,41731
X932,Public School,Bronx,NYC DOE,Bronx,10457,577 EAST 179 STREET,12,0,No,No,40.848702, -73.892482,24445,1385108,151209,416695,47335,741413
BEAVER RIVER MIDDLE SCHOOL,Public School,Lewis,BEAVER RIVER CENTRAL SCHOOL,BEAVER FALLS,13305,9508 ARTZ RD,29,47,No,Yes,43.785537, -75.446296,71250,27087,26225,170,72,357
M007,Public School,New York,NYC DOE,Manhattan,10035,160 EAST 120 STREET,224,0,No,No,40.800616, -73.939374,26214,1585873,761493,205340,177624,403577
KEENE CENTRAL SCHOOL,Public School,Essex,KEENE CENTRAL SCHOOL,KEENE VALLEY,12943,KEENE CENTRAL SCHOOL,71,0,No,Yes,44.166026, -73.685145,51563,39370,36588,982,260,993
FRAZER SCHOOL,Public School,Onondaga,SYRACUSE CITY SCHOOLS,SYRACUSE,13204,741 PARK AVE,84,1,No,Yes,43.065629, -76.168033,26271,467026,370040,48696,14370,18829
CLIFFORD WISE MIDDLE SCHOOL,Public School,Orleans,MEDINA CENTRAL SCHOOL,MEDINA,14103,GWINN ST,79,10,No,Yes,43.248394, -78.218438,43391,42883,37658,2368,173,1757
COPIAGUE J H S,Public School,Suffolk,COPIAGUE UNION FREE SCHOOL,COPIAGUE,11726,2650 GREAT NECK RD,24,0,No,Yes,40.820237, -73.119032,70443,1493350,1068728,102117,50295,246239
PS 76 HERMAN BADILLO BILINGUAL ACADEMY,Public School,Erie,BUFFALO CITY SCHOOLS,BUFFALO,14201,300 S ELMWOOD AVE,85,0,No,Yes,42.888143, -78.795544,19980,919040,714156,119916,23621,41731
LOWVILLE MIDDLE SCHOOL,Public School,Lewis,LOWVILLE CENTRAL SCHOOL,LOWVILLE,13367,7668 STATE ST,67,0,No,Yes,43.785537, -75.446296,46074,27087,26225,170,72,357
GREATER SOUTHERN TIER BOCES BUSH BLDG 1 (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,ELMIRA,14903,459 PHILO ROAD BUILDING 1,14,0,No,Yes,42.38593, -76.872032,43931,18343,17646,143,51,234
JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,Public School,Broome,JOHNSON CITY CENTRAL SCHOOL DISTRICT,JOHNSON CITY,13790,601 COLUMBIA DR,25,2,No,Yes,42.122015, -75.933191,40703,200600,173074,8850,7019,6778
REGINALD BENNETT ELEM SCHOOL,Public School,Ulster,ONTEORA CENTRAL SCHOOL,BOICEVILLE,12412,RT 28,67,17,No,Yes,41.848374, -74.099412,55601,182493,149099,9982,3060,15909
MONROE #1 BOCES/ALTERNATIVE LEARNING ACADEMY/START PROGRAM,BOCES School,Monroe,BOCES No District Name,FAIRPORT,14450,25 O'CONNOR RD,22,0,No,Yes,43.161748, -77.620143,75970,744344,542034,107448,24023,54005
VAIL FARM ELEMENTARY SCHOOL,Public School,Dutchess,ARLINGTON CENTRAL SCHOOL DISTRICT,LAGRANGEVILLE,12540,1659 E NOXON RD,109,4,No,Yes,41.686216, -73.840468,98311,297488,221812,27395,10330,31267
EASTPLAIN SCHOOL,Public School,Nassau,PLAINEDGE UFSD,NO MASSAPEQUA,11758,NO. DELAWARE AVE,29,0,No,Yes,40.715749, -73.601185,105349,1339532,877309,141305,101558,195355
M121,Public School,New York,NYC DOE,Manhattan,10029,232 EAST 103 STREET,63,0,No,No,40.788668, -73.944762,31254,1585873,761493,205340,177624,403577
LINNAEUS W. WEST SCHOOL,Public School,Broome,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,ENDICOTT,13760,1201 UNION CENTER MAINE HIGHWAY,60,0,No,Yes,42.122015, -75.933191,51016,200600,173074,8850,7019,6778
OKTE ELEM SCHOOL,Public School,Saratoga,SHENENDEHOWA CENTRAL SCHOOL,CLIFTON PARK,12065,1581 CRESCENT RD,77,3,No,Yes,43.00894, -73.786779,77931,219607,203647,3053,3880,5279
STAFFORD MIDDLE SCHOOL,Public School,Clinton,PLATTSBURGH CITY SCHOOL DISTRICT,PLATTSBURGH,12901,15 BROAD ST,2,0,No,Yes,44.731944, -73.548883,42622,82128,74832,2953,890,2054
ROGERS MIDDLE SCHOOL,Public School,Monroe,WEST IRONDEQUOIT CENTRAL SCHOOL,ROCHESTER,14617,219 NORTHFIELD RD,77,0,No,Yes,43.161748, -77.620143,60741,744344,542034,107448,24023,54005
SANDY CREEK ELEM SCHOOL,Public School,Oswego,SANDY CREEK CENTRAL SCHOOL,SANDY CREEK,13145,SALISBURY ST BOX 248,77,1,No,Yes,43.39123, -76.31133,41250,122109,116091,862,709,2552
DOGWOOD ELEM SCHOOL,Public School,Suffolk,SMITHTOWN CENTRAL SCHOOL DISTRICT,SMITHTOWN,11787,50 DOGWOOD DR,36,0,No,Yes,40.820237, -73.119032,106995,1493350,1068728,102117,50295,246239
WESTERN SUFFOLK BOCES AEROSPACE EDUCATION CENTER (LEAD ONLY),BOCES School,Suffolk,BOCES No District Name,FARMINGDALE,11735,7200 REPUBLIC AIRPORT,2,0,No,Yes,40.820237, -73.119032,88462,1493350,1068728,102117,50295,246239
Q013,Public School,Queens,NYC DOE,Queens,11373,55-01 94 STREET,209,0,No,No,40.737441, -73.867662,44964,2230722,616727,395881,508334,613750
Q115,Public School,Queens,NYC DOE,Queens,11004,80-51 261 STREET,117,0,No,No,40.744201, -73.709404,78766,2230722,616727,395881,508334,613750
Q455,Public School,Queens,NYC DOE,Queens,11373,48-01 90 STREET,137,0,No,No,40.740824, -73.874129,44964,2230722,616727,395881,508334,613750
BETHLEHEM CENTRAL SCHOOL HIGH SCHOOL,Public School,Albany,BETHLEHEM CENTRAL SCHOOL DISTRICT,DELMAR,12054,700 DELAWARE AVE,377,0,No,Yes,42.678066, -73.814233,91476,304204,231152,36396,14500,14917
GREATER SOUTHERN TIER BOCES COOPERS 16 MODULAR CLASSROOM (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,PAINTED POST,14870,1 VOCATIONAL DRIVE,2,0,No,Yes,42.38593, -76.872032,54555,18343,17646,143,51,234
CENTRAL SQUARE MIDDLE SCHOOL,Public School,Oswego,CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL SQUARE,13036,248 US RT. 11,155,0,No,Yes,43.39123, -76.31133,54038,122109,116091,862,709,2552
Q060,Public School,Queens,NYC DOE,Queens,11421,91-02 88 AVENUE,107,0,No,No,40.691467, -73.852792,57091,2230722,616727,395881,508334,613750
A M COSGROVE MIDDLE SCHOOL,Public School,Monroe,SPENCERPORT CENTRAL SCHOOL,SPENCERPORT,14559,2749 SPENCERPORT RD,46,0,No,Yes,43.161748, -77.620143,70214,744344,542034,107448,24023,54005
SCHOOL 16 JOHN WALTON SPENCER,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14619,321 POST AVE,NA,NA,No,No,43.161748, -77.620143,37560,744344,542034,107448,24023,54005
ANNSVILLE AREA SCHOOL (closed 2018; leave in for lead reporting),Public School,Oneida,CAMDEN CENTRAL SCHOOL,TABERG,13471,9374 Main Street,57,0,No,Yes,43.149482, -75.361773,45529,234878,199254,13682,6522,10819
M185,Public School,New York,NYC DOE,Manhattan,10026,20 WEST 112 STREET,83,0,No,No,40.798461, -73.950146,42058,1585873,761493,205340,177624,403577
SANTAPOGUE SCHOOL,Public School,Suffolk,WEST BABYLON UNION FREE SCHOOL,W BABYLON,11704,1130 HERZEL BLVD,85,8,No,Yes,40.820237, -73.119032,83161,1493350,1068728,102117,50295,246239
K130,Public School,Kings,NYC DOE,Brooklyn,11218,70 OCEAN PARKWAY,45,0,No,No,40.648924, -73.976053,53251,2504700,893306,799066,260129,496285
Q067,Public School,Queens,NYC DOE,Queens,11362,51-60 MARATHON PARKWAY,110,0,No,No,40.762241, -73.734832,86051,2230722,616727,395881,508334,613750
EASTERN SUFFOLK BOCES ISLIP CAREER CENTER (LEAD ONLY),BOCES School,Suffolk,BOCES No District Name,OAKDALE,11796,379 LOCUST AVE,115,0,No,Yes,40.820237, -73.119032,102500,1493350,1068728,102117,50295,246239
WATERFORD-HALFMOON ELEM SCHOOL,Public School,Saratoga,WATERFORD-HALFMOON U F SCH,WATERFORD,12188,125 MIDDLETOWN RD,92,2,No,Yes,43.00894, -73.786779,65385,219607,203647,3053,3880,5279
Q409,Public School,Queens,NYC DOE,Queens,11357,14-45 143RD STREET,17,0,No,No,40.785787, -73.826154,76014,2230722,616727,395881,508334,613750
WEEDSPORT ES,Public School,Cayuga,WEEDSPORT CENTRAL SCHOOL DISTRICT,WEEDSPORT,13166,2821 E. BRUTUS STREET,41,1,No,Yes,42.940095, -76.560755,52309,80026,73098,3009,387,1896
MORRISTOWN CENTRAL SCHOOL,Public School,St. Lawrence,MORRISTOWN CENTRAL SCHOOL,MORRISTOWN,13664,408 GOUVERNEUR ST,99,0,No,Yes,44.689468, -75.242045,65588,111944,103943,2259,1074,2146
ERIE 1 BOCES,BOCES School,Erie,BOCES No District Name,WEST SENECA,14224,355 HARLEM ROAD,340,0,No,Yes,42.888143, -78.795544,57038,919040,714156,119916,23621,41731
CAPE VINCENT ELEM SCHOOL,Public School,Jefferson,THOUSAND ISLANDS CENTRAL SCHOOL,CAPE VINCENT,13618,410 S. ESSELSTYNE ST,22,0,No,Yes,44.019295, -75.898971,64609,116229,99682,5475,1464,6143
COHOES HS,Public School,Albany,COHOES CITY SCHOOL DISTRICT,COHOES,12047,ELM ST,104,2,No,Yes,42.678066, -73.814233,47516,304204,231152,36396,14500,14917
NORTH ALBANY ACADEMY,Public School,Albany,ALBANY CITY SCHOOL DISTRICT,ALBANY,12204,570 N. PEARL ST,49,0,No,Yes,42.678066, -73.814233,50810,304204,231152,36396,14500,14917
RANDOLPH ES,Public School,Cattaraugus,RANDOLPH CENTRAL SCHOOL DISTRICT,RANDOLPH,14772,RANDOLPH ES,40,0,No,Yes,42.224267, -78.606673,46164,80317,73849,966,524,1345
DONLIN DRIVE,Public School,Onondaga,LIVERPOOL CENTRAL SCHOOL,LIVERPOOL,13031,DONLIN DRIVE,57,0,No,No,43.065629, -76.168033,68103,467026,370040,48696,14370,18829
X465,Public School,Bronx,NYC DOE,Bronx,10457,4143 THIRD AVENUE,67,0,No,No,40.845366, -73.897479,24445,1385108,151209,416695,47335,741413
HOMER JHS,Public School,Cortland,HOMER CENTRAL SCHOOL DISTRICT,HOMER,13077,58 CLINTON ST,106,34,No,Yes,42.597101, -76.143291,55288,49336,46252,705,412,1094
BATAVIA MIDDLE SCHOOL,Public School,Genesee,BATAVIA CITY SCHOOLS,BATAVIA,14020,96 ROSS ST,61,0,No,Yes,43.000121, -78.172679,43716,60079,54990,1491,355,1616
X790,Public School,Bronx,NYC DOE,Bronx,10451,730 CONCOURSE VILLAGE WEST,289,0,No,No,40.821828, -73.922366,26541,1385108,151209,416695,47335,741413
FOX LANE H S,Public School,Westchester,BEDFORD CENTRAL SCHOOL,BEDFORD,10506,632 S BEDFORD RD,243,2,No,Yes,41.039278, -73.805386,173625,949113,544563,126585,51123,207032
RANDOLPH ACADEMY HAMBURG CAMPUS,Public School,Cattaraugus,RANDOLPH ACADEMY UFSD,HAMBURG,14075,3780 HOWARD ROAD,54,0,No,No,42.224267, -78.606673,63478,80317,73849,966,524,1345
M812,Public School,New York,NYC DOE,Manhattan,10031,240 CONVENT AVE,27,0,No,No,40.820208, -73.950354,36495,1585873,761493,205340,177624,403577
COOPERSTOWN ELEM SCHOOL,Public School,Otsego,COOPERSTOWN CENTRAL SCHOOL,COOPERSTOWN,13326,21 WALNUT ST,128,16,No,Yes,42.564852, -75.060334,55699,62259,57734,958,660,1921
X053,Public School,Bronx,NYC DOE,Bronx,10456,360 EAST 168 STREET,78,0,No,No,40.832648, -73.911906,22604,1385108,151209,416695,47335,741413
M070,Public School,New York,NYC DOE,Manhattan,10011,333 WEST 17 STREET,132,0,No,No,40.742512, -74.002222,101515,1585873,761493,205340,177624,403577
K265,Public School,Kings,NYC DOE,Brooklyn,11205,101 PARK AVENUE,91,0,No,No,40.697177, -73.976104,42434,2504700,893306,799066,260129,496285
Q956,Public School,Queens,NYC DOE,Queens,11374,61-21 97 PLACE,4,0,No,No,40.73404, -73.861004,54868,2230722,616727,395881,508334,613750
CHENANGO FORKS MIDDLE SCHOOL,Public School,Broome,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,BINGHAMTON,13901,1 GORDON DR,35,8,No,Yes,42.122015, -75.933191,39597,200600,173074,8850,7019,6778
SOUTH GLENS FALLS J H S,Public School,Saratoga,SOUTH GLENS FALLS CENTRAL SCHOOL,SOUTH GLENS FALLS,12801,99 HUDSON ST,50,60,No,Yes,43.00894, -73.786779,43533,219607,203647,3053,3880,5279
ROBERT C DODSON SCHOOL,Public School,Westchester,YONKERS CITY SCHOOLS,YONKERS,10710,105 AVONDALE RD,65,3,No,Yes,41.039278, -73.805386,72410,949113,544563,126585,51123,207032
K298,Public School,Kings,NYC DOE,Brooklyn,11212,85 WATKINS STREET,122,0,No,No,40.671015, -73.907718,27901,2504700,893306,799066,260129,496285
BARTON AVENUE SCHOOL,Public School,Suffolk,PATCHOGUE-MEDFORD U F SCH,PATCHOGUE,11772,199 BARTON AVE,42,0,No,Yes,40.820237, -73.119032,69473,1493350,1068728,102117,50295,246239
Q028,Public School,Queens,NYC DOE,Queens,11368,109-10 47 AVENUE,85,0,No,No,40.747017, -73.854268,46325,2230722,616727,395881,508334,613750
K767,Public School,Kings,NYC DOE,Brooklyn,11204,1668 46TH STREET,45,0,No,No,40.631776, -73.982211,45112,2504700,893306,799066,260129,496285
ALDEN PRIMARY SCHOOL,Public School,Erie,ALDEN CENTRAL SCHOOL,ALDEN,14004,11197 BROADWAY,84,0,No,Yes,42.888143, -78.795544,59255,919040,714156,119916,23621,41731
R013,Public School,Richmond,NYC DOE,Staten Island,10305,191 VERMONT AVENUE,112,0,No,No,40.613322, -74.068963,66478,468730,300169,44313,34697,81051
PEEKSKILL H S,Public School,Westchester,PEEKSKILL CITY SCHOOLS,PEEKSKILL,10566,ELM ST,108,0,No,Yes,41.039278, -73.805386,60833,949113,544563,126585,51123,207032
EDGEWOOD SCHOOL,Public School,Westchester,SCARSDALE UNION FREE SCHOOL,SCARSDALE,10583,ROOSEVELT PL,71,0,No,Yes,41.039278, -73.805386,165792,949113,544563,126585,51123,207032
Q210,Public School,Queens,NYC DOE,Queens,11416,93-11 101 AVENUE,88,0,No,No,40.68476, -73.847633,55225,2230722,616727,395881,508334,613750
JOHN PHILIP SOUSA J H S,Public School,Nassau,PORT WASHINGTON U F S,PT WASHINGTON,11050,101 SANDS POINT RD,27,0,No,Yes,40.715749, -73.601185,109258,1339532,877309,141305,101558,195355
GUILDERLAND ES,Public School,Albany,GUILDERLAND CENTRAL SCHOOL DISTRICT,GUILDERLAND,12084,2225 WESTERN AVE,109,1,No,Yes,42.678066, -73.814233,77958,304204,231152,36396,14500,14917
NORTHPORT S H S,Public School,Suffolk,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,NORTHPORT,11768,LAUREL HILL RD,534,0,No,Yes,40.820237, -73.119032,117005,1493350,1068728,102117,50295,246239
SCHOOL 45 MARY MCLEOD BETHUNE,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14621,1445 CLIFFORD AVE,98,0,No,Yes,43.161748, -77.620143,24070,744344,542034,107448,24023,54005
Q816,Public School,Queens,NYC DOE,Queens,11694,445 BEACH 135 STREET,20,0,No,No,40.577602, -73.855167,73893,2230722,616727,395881,508334,613750
YATES SCHOOL,Public School,Schenectady,SCHENECTADY CITY SCHOOLS,SCHENECTADY,12308,SALINA ST,19,4,No,Yes,42.809233, -73.946838,39512,154727,119409,13528,4917,8827
Q876,Public School,Queens,NYC DOE,Queens,11385,869 CYPRESS AVENUE,14,0,No,No,40.699682, -73.904999,51258,2230722,616727,395881,508334,613750
GEORGE M DAVIS ELEM SCHOOL,Public School,Westchester,NEW ROCHELLE CITY SCHOOLS,NEW ROCHELLE,10804,80 ISELIN DR,69,62,No,Yes,41.039278, -73.805386,155489,949113,544563,126585,51123,207032
BENJAMIN FRANKLIN ELEM SCHOOL,Public School,Westchester,LAKELAND CENTRAL SCHOOL DISTRICT,SHRUB OAK,10588,BENJAMIN FRANKLIN ELEM SCHOOL,7,13,No,Yes,41.039278, -73.805386,77528,949113,544563,126585,51123,207032
Q049,Public School,Queens,NYC DOE,Queens,11379,63-60 80th Street,82,0,No,No,40.719567, -73.875493,67516,2230722,616727,395881,508334,613750
M099,Public School,New York,NYC DOE,Manhattan,10029,410 EAST 100 STREET,83,0,No,No,40.785107, -73.942154,31254,1585873,761493,205340,177624,403577
KEESVILLE PRIMARY SCHOOL,Public School,Clinton,AUSABLE VALLEY CENTRAL SCHOOL,KEESEVILLE,12944,1825 ROUTE 22,83,3,No,Yes,44.731944, -73.548883,50327,82128,74832,2953,890,2054
INDIAN RIVER MIDDLE SCHOOL,Public School,Jefferson,INDIAN RIVER CENTRAL SCHOOL,PHILADELPHIA,13673,CNTY ROUTE 29 BOX 420,107,0,No,Yes,44.019295, -75.898971,49464,116229,99682,5475,1464,6143
HENRY V BURGER JUNIOR HIGH SCHOOL,Public School,Monroe,RUSH HENRIETTA CENTRAL SCHOOL,WEST HENRIETTA,14586,639 ERIE STATION RD,139,0,No,No,43.161748, -77.620143,64597,744344,542034,107448,24023,54005
